Paper ID,Title,Year,Venue,Category,Task,Dataset,Backbone,Retriever,Method Summary,Key Contribution,Limitation,Code URL,Relation to My Work,Read Status,Note Path
P001,Process vs. Outcome Reward: Which is Better for Agentic RAG Reinforcement Learning,2025,NeurIPS 2025,Process-Supervised Agentic RAG,多跳问答,HotpotQA;2Wiki;PopQA;MuSiQue;Bamboogle,Qwen2.5-7B,BGE,ReasonRAG 用 RAG-ProGUIDE 为 query generation/evidence extraction/answer generation 提供过程奖励,证明小规模 process-supervised data 可优于大规模 outcome RL,过程监督仍未细化到状态感知的 query/evidence/stop 三类决策,https://github.com/Applied-Machine-Learning-Lab/ReasonRAG,本课题 baseline 与问题观察入口,reading,01_literature/paper_notes/2025_ReasonRAG.md
P002,Search-R1: Training LLMs to Reason and Leverage Search Engines with Reinforcement Learning,2025,COLM 2025,Outcome-RL Agentic RAG,开放域问答;多跳问答,NQ;TriviaQA;PopQA;HotpotQA;2Wiki;MuSiQue;Bamboogle,Qwen2.5-3B;Qwen2.5-7B,搜索引擎/检索工具,用 outcome-based RL 训练 LLM 在推理过程中主动生成搜索查询,证明搜索行为可通过 RL 学到并带来显著提升,最终答案奖励稀疏且难定位中间错误,https://github.com/PeterGriffinJin/Search-R1,作为 outcome-RL 对照基线,reading,01_literature/paper_notes/2025_Search_R1.md
P003,DecEx-RAG: Boosting Agentic Retrieval-Augmented Generation with Decision and Execution Optimization via Process Supervision,2025,EMNLP 2025 Industry,Decision/Execution Process Optimization,Agentic RAG QA,PopQA;NQ;AmbigQA;HotpotQA;2WikiMultiHopQA;Bamboogle,未确认,未确认,将 Agentic RAG 建模为 decision/execution MDP 并进行过程级优化,显式缓解 outcome reward 的稀疏与全局反馈模糊问题,缺少以当前证据状态为条件的独立 evidence utility,https://github.com/sdsxdxl/DecEx-RAG,SAPR-RAG 可沿用 MDP 视角并细化状态和奖励头,reading,01_literature/paper_notes/2025_DecEx_RAG.md
P004,HiPRAG: Hierarchical Process Rewards for Efficient Agentic Retrieval Augmented Generation,2026,ICLR 2026,Hierarchical Process Reward,Agentic RAG QA,NQ;TriviaQA;PopQA;HotpotQA;2Wiki;MuSiQue;Bamboogle,Qwen2.5;Llama-3.2,搜索/检索工具,用层级过程奖励判断每一步是否应该搜索,直接控制 over-search 与 under-search 并提升效率,强在是否搜索但弱在当前状态下搜什么和证据效用如何评估,https://github.com/qualidea1217/HiPRAG,Stop Reward 的最直接相关工作,reading,01_literature/paper_notes/2026_HiPRAG.md
P005,ProRAG: Process-Supervised Reinforcement Learning for Retrieval-Augmented Generation,2026,arXiv,Process-Supervised RL for RAG,检索增强问答,PopQA;HotpotQA;2Wiki;MuSiQue;Bamboogle,未确认,未确认,用 SFT warmup、MCTS-based PRM、PRM-guided refinement 和 process-supervised RL 优化 RAG 过程,将 step-level feedback 与 outcome signal 结合缓解 process hallucination,PRM 未必区分 query/evidence/stop 的不同错误来源,https://github.com/lilinwz/ProRAG,需要对比并将 PRM 拆成可解释三头 reward,reading,01_literature/paper_notes/2026_ProRAG.md
P006,Search-P1: Path-Centric Reward Shaping for Stable and Efficient Agentic RAG Training,2026,arXiv / OpenReview PDF，venue 未确认,Path-Centric Reward Shaping,Agentic RAG QA,NQ;TriviaQA;PopQA;HotpotQA;2Wiki;MuSiQue;Bamboogle;AD-QA,未确认,搜索/检索工具,用 path-centric reward 从失败样本中提取训练信号并改善 credit assignment,将 step coverage、soft scoring、self-consistency 和 reference alignment 融合到路径评分,路径好坏仍需进一步拆解为实体覆盖、证据支撑和停止价值,未找到官方代码,可作为 trajectory-level reward 的重要对照,reading,01_literature/paper_notes/2026_Search_P1.md
P007,Can Compact Language Models Search Like Agents? Distillation-Guided Policy Optimization for Preserving Agentic RAG Capabilities,2026,ACL 2026 Main Long,On-Policy Distillation for Agentic RAG,开放域问答;多跳问答,NQ;TriviaQA;PopQA;HotpotQA;2Wiki;MuSiQue;Bamboogle,Qwen2.5-0.5B;Llama-3.2-1B,E5,先用正确教师轨迹做 KD 冷启动再对错误 student rollout 选择性施加外部 teacher KL,在七个 QA 数据集上显著优于 PPO、纯 GKD 和离线 KD 且 HotpotQA EM 达到 0.342,只报告 EM 且主要验证小模型；2Wiki/MuSiQue 仍低于 teacher,https://github.com/omron-sinicx/dgpo,外部教师 selective OPD 的首要复现对象,read,01_literature/paper_notes/2026_DGPO.md
P008,On-Policy Distillation of Language Models: Learning from Self-Generated Mistakes,2024,ICLR 2024,Generalized Knowledge Distillation,自回归语言生成,摘要;翻译;算术推理,T5 77M-800M student;T5-XL teacher,无,在 student 自生成序列上最小化 teacher/student 分布差异并支持 offline/on-policy 混合与多种 divergence,建立现代 LLM OPD 的通用训练框架并缓解 train-inference mismatch,不是 Agentic RAG 且没有多跳 QA EM/F1 证据,未提供官方仓库,作为外部教师 OPD 的理论与目标函数基础,read,01_literature/related_work_drafts/opd_agentic_rag_survey.md
P009,Entropy-Aware On-Policy Distillation of Language Models,2026,ICML 2026 Regular,Entropy-Aware On-Policy Distillation,数学推理,六个数学推理基准,Qwen3-0.6B;1.7B;4B student;Qwen3-8B teacher,无,teacher 高熵 token 上加入 top-k forward KL并在其他位置保留 reverse KL,缓解标准 reverse-KL OPD 的模式坍缩和高熵位置训练不稳定,不是 RAG 且未验证搜索动作和 EM/F1,https://github.com/WLS04/EOPD,为 query/answer 分叉位置的 entropy-aware KL 提供依据,read,01_literature/related_work_drafts/opd_agentic_rag_survey.md
P010,Student-Centered Distillation Narrows the Agentic Gap Between Small and Large LLMs,2026,ICML 2026 Regular,Student-Centered Agent Distillation,多步推理;工具使用;DeepSearch,HotpotQA;2Wiki;MuSiQue;Bamboogle;数学与深度搜索基准,Qwen2.5-7B student;72B teacher,搜索与工具环境,student 先生成轨迹；teacher 只修最早错误；再从 verified prefix 做短程 RL,减少完整 teacher trajectory 模仿的误差累积并改善长轨迹 credit assignment,不是严格 token-level OPD且数据构造和 teacher 成本较高,https://github.com/haruhi-sudo/SCoRe,可将 failed-only OPD 进一步收敛到首错位置后的局部纠偏,read,01_literature/related_work_drafts/opd_agentic_rag_survey.md
P011,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,2024,arXiv,GRPO Foundation,数学推理,MATH;GSM8K,DeepSeekMath-7B,无,用同题多响应的组内 reward 统计替代 PPO critic 并将序列 advantage 广播到 token,提出 GRPO 并降低 PPO value model 成本,序列内无细粒度信用且存在长度与难度归一化偏置,https://arxiv.org/abs/2402.03300,GRPO 基础定义与当前 B 基线来源,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P012,Understanding R1-Zero-Like Training: A Critical Perspective,2025,COLM 2025,GRPO Debiasing,数学推理,MATH;AIME,Qwen2.5;Llama;DeepSeek,无,移除 reward std 和长度归一化偏置形成 Dr.GRPO,揭示 GRPO 长度偏置并提高 token 效率,主要验证数学推理且不解决多轮动作信用,https://openreview.net/forum?id=5PAF7PAY2Y,作为长度偏置与优化器控制基线,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P013,DAPO: An Open-Source LLM Reinforcement Learning System at Scale,2025,NeurIPS 2025 Poster,GRPO Stability Recipe,数学与代码推理,AIME;数学和代码基准,Qwen2.5-32B,无,结合 Clip-Higher;动态采样;token-level PG loss;超长 reward shaping,系统解决大规模 GRPO 稳定性和无效 prompt,偏工程配方且不定位多轮 Agent 动作信用,https://openreview.net/forum?id=2a36EMSSTp,动态采样可作为 zero-std 控制但不是主创新,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P014,VinePPO: Refining Credit Assignment in RL Training of LLMs,2025,ICML 2025 Poster,Monte Carlo Prefix Credit,长链数学推理,MATH;GSM8K,多种 LLM,无,从中间 prefix 采样 continuation 以 Monte Carlo 成功率估计 step value,无需学习 critic 即获得更准确的细粒度信用,Agentic RAG 每次 continuation 需真实检索且成本较高,https://openreview.net/forum?id=Myx2kJFzAn,可作为 Query 分叉 value estimation 的高质量上限,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P015,Group-in-Group Policy Optimization for LLM Agent Training,2025,NeurIPS 2025 Main,Hierarchical Group Credit,多轮 Agent;搜索增强 QA,ALFWorld;WebShop;SearchQA,Qwen2.5-1.5B;3B;7B,工具与搜索环境,结合 episode macro advantage 与相同 anchor state 下的 step micro advantage,critic-free 且无需额外 rollout 的细粒度 Agent 信用分配,真实文本状态很少精确重复且相似分组有阈值权衡,https://proceedings.neurips.cc/paper_files/paper/2025/hash/420c9f777c0b4f78d515e53cf74d58b2-Abstract-Conference.html,方向二最重要直接基线；可用 evidence-gap 状态改进 anchor,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P016,Group-Normalized Implicit Value Optimization for Language Models,2026,ICLR 2026 Poster,Implicit Step Value,文本生成;推理,多种推理与生成任务,多种 LLM,无,通过组归一化分布匹配从 policy 隐式恢复 step value,无需显式 critic 的 step-level value 学习,评审仍质疑是否是真正的 within-trajectory credit,https://openreview.net/forum?id=eFXmrCun0c,要求本项目用动作过程指标证明信用落点,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P017,Tree Search for LLM Agent Reinforcement Learning,2026,ICLR 2026 Poster,Tree-Based Agent Credit,多轮 Agent;QA,11 个 QA/Agent 数据集,多种 LLM,工具环境,共享 prefix 构造 step tree 并计算 intra-tree/inter-tree relative advantage,在固定预算下提高分叉效率并从 outcome 构造 step credit,引入树超参且困难 Web Agent 增益有限,https://openreview.net/forum?id=ZpQwAFhU13,树状 Query 分叉的主要对照；不能重复宣称树信用创新,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P018,Agentic Reinforcement Learning with Implicit Step Rewards,2026,ICLR 2026 Poster,Learned Implicit Process Reward,多轮 Agent,WebShop;VisualSokoban;SOTOPIA,多种 LLM,交互环境,从 trajectory preference 交替训练隐式 PRM 并融合 step 与 episode advantage,不需显式 step label 或额外 rollout,引入在线 PRM 和交替训练复杂度且存在 reward hacking 风险,https://openreview.net/forum?id=ooROvpmxMV,若项目引入 learned evidence critic 必须对比,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P019,Intrinsic Credit Assignment for Long Horizon Interaction,2026,ICML 2026 Regular,Belief-Potential Credit,长程信息获取交互,合成诊断;客服;个性化任务,多种 LLM,交互环境,用每轮交互前后正确目标置信度变化作为 ΔBelief reward 并采用 turn-wise GRPO,以模型内在 belief 为势函数奖励中间信息获取,需要 gold target 与额外 forward；与 evidence potential 高度相邻,https://openreview.net/forum?id=SAJMlj9x39,本项目增量证据势函数的首要理论近邻,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P020,From Outcomes to Actions: Leveraging Hindsight for Long-Horizon Language Agent Training,2026,ICML 2026 Regular,Hindsight Intent-Space Credit,长程 Agent;搜索 QA,SearchQA;TextCraft,多种 LLM,搜索与工具环境,将 state-action 投影到语义 intent space 并从成功轨迹 hindsight distribution 估计 step advantage,通过语义聚合降低长程信用方差,依赖额外 embedding 模型且实现含 Wasserstein/Sinkhorn 超参,https://openreview.net/forum?id=iK3yDEvQ4y,semantic state grouping 和搜索 QA 的直接强基线,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P021,InfoPO: Information-Driven Policy Optimization for User-Centric Agents,2026,ICML 2026 Regular,Counterfactual Information Credit,多轮用户交互;工具 Agent,意图澄清;协作编码;工具决策,多种 LLM,交互环境,遮蔽某轮反馈并用后续动作分布变化计算信息增益；再按 reward 方差融合 outcome,提供 turn-level 反事实信息价值,文本 placeholder 可能引入混杂且依赖额外 factual/counterfactual forward,https://openreview.net/forum?id=O7UHBoLrx4,删除 evidence 测 Answer 变化方案的直接近邻,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
P022,On Information Self-Locking in Reinforcement Learning for Active Reasoning of LLM Agents,2026,ICML 2026 Regular,Advantage Reweighting,主动信息获取 Agent,9 个交互任务;tau2-bench,多种 LLM,交互环境,将能力拆为 Action Selection 与 Belief Tracking 并用方向 critique 重分配轨迹内信用,揭示信息自锁并直接区分信息获取与吸收,critique 设计可能任务特化且存在噪声/奖励投机风险,https://openreview.net/forum?id=oPqm8k1CMQ,Query acquisition 与 evidence assimilation 分解的最直接近邻,surveyed,01_literature/related_work_drafts/grpo_long_horizon_credit_assignment_survey_20260906.md
